Transaction Date,Customer ID,Contractor ID,Service Code,Shift Total
2/6/2018,288,15485,UN,15
2/6/2018,288,26129,UN,1
2/6/2018,288,26129,UN,12
2/6/2018,288,35957,UN,12
2/6/2018,288,42389,UN,12
2/6/2018,288,57232,UN,12
2/6/2018,288,57232,UN,4.5
2/6/2018,288,79993,UN,8
2/6/2018,288,82825,UN,12
2/6/2018,288,84523,UN,1
2/6/2018,288,84523,UN,5
2/7/2018,288,15021,UN,6
2/7/2018,288,15485,UN,12
2/7/2018,288,15485,UN,4.5
2/7/2018,288,26129,UN,1
2/7/2018,288,26129,UN,12
2/7/2018,288,35957,UN,1
2/7/2018,288,35957,UN,5
2/7/2018,288,42389,UN,12
2/7/2018,288,71658,UN,12
2/7/2018,288,79993,UN,8
2/7/2018,288,82825,UN,12
2/7/2018,288,84523,UN,12
2/7/2018,288,85192,UN,15
2/8/2018,288,15021,UN,12
2/8/2018,288,26129,UN,1
2/8/2018,288,26129,UN,12
2/8/2018,288,35957,UN,15
2/8/2018,288,35969,UN,8
2/8/2018,288,35969,UN,5
2/8/2018,288,42389,UN,12
2/8/2018,288,79993,UN,4.5
2/8/2018,288,82242,UN,1
2/8/2018,288,82242,UN,6
2/8/2018,288,82825,UN,12
2/8/2018,288,83325,UN,4
2/8/2018,288,84523,UN,12
2/8/2018,288,84523,UN,8
2/9/2018,288,15021,UN,15
2/9/2018,288,15439,UN,6
2/9/2018,288,15485,UN,12
2/9/2018,288,15485,UN,1
2/9/2018,288,26129,UN,1
2/9/2018,288,42389,UN,12
2/9/2018,288,56679,UN,7
2/9/2018,288,57232,UN,12
2/9/2018,288,57232,UN,5
2/9/2018,288,71658,UN,5.5
2/9/2018,288,79993,UN,1
2/9/2018,288,79993,UN,12
2/9/2018,288,82242,UN,11.5
2/9/2018,288,82825,UN,12
2/10/2018,288,15439,UN,11.5
2/10/2018,288,15439,UN,5
2/10/2018,288,26129,UN,12
2/10/2018,288,35957,UN,15
2/10/2018,288,43828,UN,12
2/10/2018,288,57232,UN,12
2/10/2018,288,57232,UN,6
2/10/2018,288,71658,UN,12
2/10/2018,288,82242,UN,12
2/10/2018,288,82242,UN,5.5
2/10/2018,288,90970,UN,1
2/10/2018,288,90970,UN,8
2/11/2018,288,15439,UN,15
2/11/2018,288,20925,UN,13
2/11/2018,288,26129,UN,10
2/11/2018,288,26129,UN,11
2/11/2018,288,35957,UN,16
2/11/2018,288,57232,UN,15
2/11/2018,288,79993,UN,9
2/11/2018,288,82242,UN,16
2/11/2018,288,82825,UN,12.5
1/29/2018,290,14292,UN,12.5
1/29/2018,290,21890,UN,12
1/29/2018,290,53222,UN,12
1/29/2018,290,64210,UN,2
1/30/2018,290,14292,UN,12
1/30/2018,290,21415,UN,12.5
1/30/2018,290,21890,UN,12
1/31/2018,290,11730,UN,9
1/31/2018,290,14292,UN,12
1/31/2018,290,21415,UN,12.5
1/31/2018,290,21890,UN,12
1/31/2018,290,63105,UN,1
2/1/2018,290,14292,UN,12
2/1/2018,290,21415,UN,12.5
2/1/2018,290,21890,UN,12
2/2/2018,290,21415,UN,13.5
2/2/2018,290,21890,UN,12
2/2/2018,290,53222,UN,12
2/3/2018,290,21314,UN,13.5
2/3/2018,290,21415,UN,12
2/3/2018,290,53222,UN,12
2/4/2018,290,14292,UN,10
2/4/2018,290,21314,UN,12
2/4/2018,290,53222,UN,12
2/5/2018,290,14292,UN,12.5
2/5/2018,290,21890,UN,12
2/5/2018,290,53222,UN,12
2/6/2018,290,14292,UN,12
2/6/2018,290,21415,UN,12.5
2/6/2018,290,21890,UN,12
2/7/2018,290,14292,UN,12
2/7/2018,290,21415,UN,12.5
2/7/2018,290,21890,UN,12
2/8/2018,290,14292,UN,12
2/8/2018,290,21415,UN,12.5
2/8/2018,290,21890,UN,12
2/9/2018,290,21415,UN,13.5
2/9/2018,290,21890,UN,12
2/9/2018,290,53222,UN,12
2/10/2018,290,21314,UN,13.5
2/10/2018,290,21415,UN,12
2/10/2018,290,53222,UN,12
2/11/2018,290,14292,UN,10
2/11/2018,290,21314,UN,12
2/11/2018,290,53222,UN,12
1/29/2018,290,71089,UN,12
1/29/2018,290,74413,UN,12
1/30/2018,290,71089,UN,12
1/30/2018,290,74413,UN,12
1/31/2018,290,71089,UN,12
1/31/2018,290,86395,UN,12
2/1/2018,290,71089,UN,12
2/1/2018,290,74413,UN,12
2/2/2018,290,71089,UN,12
2/2/2018,290,74413,UN,12
2/2/2018,290,82242,UN,3
2/2/2018,290,84523,UN,5
2/3/2018,290,20925,UN,3
2/3/2018,290,71089,UN,12
2/3/2018,290,74413,UN,12
2/3/2018,290,84523,UN,5
2/4/2018,290,74413,UN,10
2/4/2018,290,86395,UN,12
2/5/2018,290,71089,UN,12
2/5/2018,290,74413,UN,12
2/5/2018,290,86395,UN,12
2/6/2018,290,71089,UN,12
2/6/2018,290,74413,UN,12
2/7/2018,290,71089,UN,12
2/7/2018,290,86395,UN,12
2/8/2018,290,64210,UN,4
2/8/2018,290,71089,UN,12
2/8/2018,290,74413,UN,12
2/9/2018,290,56679,UN,12
2/9/2018,290,71089,UN,12
2/9/2018,290,74413,UN,12
2/9/2018,290,82242,UN,3
2/9/2018,290,84523,UN,5
2/10/2018,290,20925,UN,3
2/10/2018,290,71089,UN,12
2/10/2018,290,74413,UN,12
2/10/2018,290,84523,UN,5
2/11/2018,290,74413,UN,10
2/11/2018,290,86395,UN,12
1/29/2018,300,59100,ARM,12
1/29/2018,300,59100,ARM,12
1/29/2018,300,80202,UN,12
1/29/2018,300,81534,ARM,12
1/29/2018,300,81915,ARM,12
1/29/2018,300,82916,UN,12
1/29/2018,300,83732,ARM,12
1/29/2018,300,93558,UN,12
1/30/2018,300,3350,ARM,12
1/30/2018,300,25434,UN,12
1/30/2018,300,82916,UN,12
1/30/2018,300,83732,ARM,12
1/30/2018,300,85049,ARM,12
1/30/2018,300,87081,ARM,12
1/30/2018,300,87081,ARM,12
1/30/2018,300,93558,UN,12
1/31/2018,300,3350,ARM,12
1/31/2018,300,59100,ARM,12
1/31/2018,300,80202,UN,12
1/31/2018,300,81915,ARM,12
1/31/2018,300,83732,ARM,12
1/31/2018,300,83768,UN,12
1/31/2018,300,87081,ARM,12
1/31/2018,300,93558,UN,12
2/1/2018,300,41545,UN,12
2/1/2018,300,59100,ARM,12
2/1/2018,300,80202,UN,12
2/1/2018,300,81915,ARM,12
2/1/2018,300,81915,ARM,12
2/1/2018,300,83732,ARM,12
2/1/2018,300,83768,UN,12
2/1/2018,300,87081,ARM,12
2/2/2018,300,41545,UN,12
2/2/2018,300,59100,ARM,12
2/2/2018,300,80202,UN,12
2/2/2018,300,81534,ARM,12
2/2/2018,300,81534,ARM,12
2/2/2018,300,82916,UN,12
2/2/2018,300,83732,ARM,12
2/2/2018,300,87081,ARM,12
2/3/2018,300,59100,ARM,12
2/3/2018,300,59100,ARM,12
2/3/2018,300,81915,ARM,12
2/3/2018,300,87081,ARM,12
2/3/2018,300,93558,UN,12
2/3/2018,300,93558,UN,12
2/4/2018,300,41545,UN,12
2/4/2018,300,41545,UN,12
2/4/2018,300,59100,ARM,12
2/4/2018,300,81915,ARM,12
2/4/2018,300,83768,UN,12
2/4/2018,300,87081,ARM,12
2/4/2018,300,87081,ARM,12
2/5/2018,300,3350,ARM,12
2/5/2018,300,59100,ARM,12
2/5/2018,300,80202,UN,12
2/5/2018,300,81534,ARM,12
2/5/2018,300,81915,ARM,12
2/5/2018,300,83768,UN,12
2/5/2018,300,85049,ARM,12
2/5/2018,300,93558,UN,12
2/6/2018,300,41545,UN,12
2/6/2018,300,59100,ARM,12
2/6/2018,300,81534,ARM,12
2/6/2018,300,81915,ARM,12
2/6/2018,300,83768,UN,12
2/6/2018,300,85049,ARM,12
2/6/2018,300,87081,ARM,12
2/6/2018,300,93558,UN,12
2/7/2018,300,3350,ARM,12
2/7/2018,300,59100,ARM,12
2/7/2018,300,80202,UN,12
2/7/2018,300,81915,ARM,12
2/7/2018,300,83732,ARM,12
2/7/2018,300,83768,UN,12
2/7/2018,300,87081,ARM,12
2/7/2018,300,93558,UN,12
2/8/2018,300,41545,UN,12
2/8/2018,300,59100,ARM,12
2/8/2018,300,80202,UN,12
2/8/2018,300,81915,ARM,12
2/8/2018,300,81915,ARM,12
2/8/2018,300,82916,UN,12
2/8/2018,300,83732,ARM,12
2/8/2018,300,87081,ARM,12
2/9/2018,300,3350,ARM,12
2/9/2018,300,41545,UN,12
2/9/2018,300,80202,UN,12
2/9/2018,300,81534,ARM,12
2/9/2018,300,81534,ARM,12
2/9/2018,300,82916,UN,12
2/9/2018,300,83732,ARM,12
2/9/2018,300,87081,ARM,12
2/10/2018,300,25434,UN,12
2/10/2018,300,41545,UN,12
2/10/2018,300,59100,ARM,12
2/10/2018,300,59100,ARM,12
2/10/2018,300,81915,ARM,12
2/10/2018,300,87081,ARM,12
2/11/2018,300,25434,UN,12
2/11/2018,300,41545,UN,12
2/11/2018,300,59100,ARM,12
2/11/2018,300,81915,ARM,12
2/11/2018,300,82916,UN,12
2/11/2018,300,87081,ARM,12
2/11/2018,300,87081,ARM,12
1/29/2018,302,13231,UN,12
1/29/2018,302,15421,UN,12
1/30/2018,302,13231,UN,12
1/30/2018,302,15421,UN,12
1/31/2018,302,13231,UN,12
1/31/2018,302,15421,UN,12
2/1/2018,302,13231,UN,12
2/1/2018,302,15421,UN,12
2/2/2018,302,13231,UN,12
2/2/2018,302,15421,UN,12
2/3/2018,302,13231,UN,12
2/3/2018,302,15421,UN,12
2/4/2018,302,15429,UN,12
2/4/2018,302,43828,UN,12
2/5/2018,302,13231,UN,12
2/5/2018,302,15421,UN,12
2/6/2018,302,13231,UN,12
2/6/2018,302,15421,UN,12
2/7/2018,302,15421,UN,12
2/7/2018,302,80397,UN,12
2/8/2018,302,15421,UN,12
2/8/2018,302,15511,UN,12
2/9/2018,302,15421,UN,12
2/9/2018,302,15511,UN,12
2/10/2018,302,15421,UN,12
2/10/2018,302,87829,UN,12
2/11/2018,302,15429,UN,12
2/11/2018,302,43828,UN,12
1/29/2018,303,92434,UN,9
1/30/2018,303,92434,UN,9
1/31/2018,303,92434,UN,9
2/1/2018,303,92434,UN,9
2/2/2018,303,92434,UN,9
2/3/2018,303,30447,UN,6
2/3/2018,303,34503,UN,6
2/3/2018,303,92434,UN,4
2/5/2018,303,92434,UN,9
2/6/2018,303,92434,UN,9
2/7/2018,303,92434,UN,9
2/8/2018,303,92434,UN,11
2/9/2018,303,92434,UN,9
2/10/2018,303,30447,UN,6
2/10/2018,303,34503,UN,6
1/29/2018,315,89651,UN,12
2/1/2018,315,41431,UN,12
2/2/2018,315,41431,UN,12
2/3/2018,315,41431,UN,12
2/5/2018,315,41431,UN,12
2/6/2018,315,41431,UN,12
2/7/2018,315,41431,UN,12
2/8/2018,315,41431,UN,12
2/9/2018,315,41431,UN,12
2/10/2018,315,41431,UN,12
1/29/2018,317,20309,UN,8
1/29/2018,317,70895,UN,8
1/29/2018,317,74363,UN,8
1/29/2018,317,91774,UN,8
1/30/2018,317,70895,UN,8
1/30/2018,317,74363,UN,8
1/30/2018,317,78783,UN,8
1/30/2018,317,91774,UN,8
1/31/2018,317,70895,UN,8
1/31/2018,317,74363,UN,8
1/31/2018,317,78783,UN,8
1/31/2018,317,91774,UN,8
2/1/2018,317,15438,UN,8
2/1/2018,317,20309,UN,8
2/1/2018,317,70895,UN,8
2/1/2018,317,91774,UN,8
2/2/2018,317,15438,UN,8
2/2/2018,317,20309,UN,8
2/2/2018,317,70895,UN,8
2/2/2018,317,91774,UN,8
2/5/2018,317,20309,UN,8
2/5/2018,317,70895,UN,8
2/5/2018,317,74363,UN,8
2/5/2018,317,91774,UN,8
2/6/2018,317,20309,UN,8
2/6/2018,317,49064,UN,8
2/6/2018,317,74363,UN,8
2/6/2018,317,91774,UN,8
2/7/2018,317,20309,UN,8
2/7/2018,317,70895,UN,8
2/7/2018,317,74363,UN,8
2/7/2018,317,91774,UN,8
2/8/2018,317,15438,UN,8
2/8/2018,317,20309,UN,8
2/8/2018,317,70895,UN,8
2/8/2018,317,91774,UN,8
2/9/2018,317,15438,UN,8
2/9/2018,317,20309,UN,8
2/9/2018,317,70895,UN,8
2/9/2018,317,91774,UN,8
1/29/2018,323,41697,UN,12
1/29/2018,323,99424,UN,12
1/29/2018,323,99424,UN,12
1/30/2018,323,41350,UN,12
1/30/2018,323,41697,UN,12
1/30/2018,323,99424,UN,12
1/31/2018,323,41350,UN,7
1/31/2018,323,41350,UN,1.5
1/31/2018,323,41697,UN,12
1/31/2018,323,99424,UN,12
2/1/2018,323,7029,UN,12
2/1/2018,323,41350,UN,12
2/1/2018,323,99424,UN,12
2/2/2018,323,41350,UN,12
2/2/2018,323,41409,UN,12
2/2/2018,323,41697,UN,12
2/3/2018,323,41350,UN,12
2/3/2018,323,41697,UN,12
2/3/2018,323,99424,UN,12
2/4/2018,323,7029,UN,12
2/4/2018,323,86023,UN,12
2/4/2018,323,99424,UN,12
2/5/2018,323,41350,UN,12
2/5/2018,323,41697,UN,12
2/5/2018,323,99424,UN,12
2/6/2018,323,28141,UN,12
2/6/2018,323,41350,UN,12
2/6/2018,323,99424,UN,12
2/7/2018,323,41350,UN,12
2/7/2018,323,70210,UN,12
2/7/2018,323,99424,UN,12
2/8/2018,323,41350,UN,12
2/8/2018,323,41697,UN,12
2/8/2018,323,99424,UN,12
2/9/2018,323,17104,UN,12
2/9/2018,323,41350,UN,12
2/9/2018,323,41697,UN,12
2/10/2018,323,41350,UN,12
2/10/2018,323,41409,UN,12
2/10/2018,323,99424,UN,12
2/11/2018,323,41409,UN,12
2/11/2018,323,81548,UN,12
2/11/2018,323,99424,UN,12
1/29/2018,324,18247,UN,12
1/30/2018,324,18247,UN,12
1/31/2018,324,18247,UN,12
2/1/2018,324,18247,UN,12
2/2/2018,324,18247,UN,12
